time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipProbability,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,date,precipIntensityMaxTime,precipType,precipAccumulation
1199167200,Foggy in the morning and afternoon.,cloudy,1199193564,1199226651,0.8,0.0,0.0,0.0,22.45,1199210400,3.91,1199268000,13.36,1199203200,-9.01,1199260800,15.2,0.81,1021.01,8.49,20.26,1199239200,292,0.97,1,1199210400,4.02,7.94,1199250000,29.27,1199167200,-5.17,1199250000,21.78,1199167200,2008-01-01,,,
1199253600,Mostly cloudy throughout the day.,partly-cloudy-day,1199279969,1199313102,0.83,0.0,0.0,0.0,21.43,1199307600,3.15,1199365200,12.06,1199307600,-3.85,1199358000,3.67,0.71,1036.12,6.88,14.77,1199257200,290,0.36,2,1199296800,9.31,3.91,1199268000,21.43,1199307600,-9.01,1199260800,12.06,1199307600,2008-01-02,,,
1199340000,Partly cloudy throughout the day.,partly-cloudy-day,1199366371,1199399554,0.86,0.0,0.0,0.0,20.33,1199408400,20.33,1199408400,9.56,1199408400,9.56,1199408400,5.63,0.71,1036.81,6.56,20.08,1199415600,199,0.13,2,1199383200,9.981,3.15,1199365200,22.67,1199422800,-3.85,1199358000,12.97,1199422800,2008-01-03,,,
1199426400,Mostly cloudy throughout the day.,partly-cloudy-day,1199452771,1199486008,0.89,0.0,0.0004,0.14,34.23,1199494800,34.23,1199494800,27.24,1199491200,26.9,1199494800,19.9,0.68,1024.51,8.31,18.52,1199505600,191,0.57,2,1199469600,9.997,23.08,1199433600,35.22,1199505600,14.1,1199426400,28.05,1199502000,2008-01-04,1199469600.0,,
1199512800,Possible drizzle in the morning.,rain,1199539168,1199572463,0.93,0.0016,0.0098,0.56,43.2,1199581200,42.96,1199584800,38.62,1199581200,38.12,1199592000,35.35,0.84,1013.93,8.98,17.25,1199523600,195,1.0,1,1199556000,7.145,35.7,1199512800,43.21,1199592000,28.63,1199516400,38.9,1199595600,2008-01-05,1199530800.0,rain,
1199599200,Foggy in the morning.,cloudy,1199625563,1199658920,0.96,0.0,0.001,0.1,60.15,1199656800,55.77,1199696400,60.15,1199656800,55.77,1199696400,50.3,0.91,1009.03,8.45,18.1,1199664000,187,0.94,1,1199642400,5.75,43.09,1199599200,60.15,1199656800,38.74,1199599200,60.15,1199656800,2008-01-06,1199610000.0,,
1199685600,"Rain until morning, starting again in the evening.",rain,1199711956,1199745379,0.99,0.0078,0.0891,0.91,65.01,1199739600,52.49,1199800800,65.01,1199739600,52.49,1199800800,54.69,0.85,1010.01,9.37,26.28,1199728800,199,0.95,1,1199728800,9.233,54.95,1199757600,65.01,1199739600,54.95,1199757600,65.01,1199739600,2008-01-07,1199754000.0,rain,
1199772000,Rain throughout the day.,rain,1199798347,1199831839,0.02,0.0443,0.165,1.0,56.08,1199822400,31.59,1199887200,56.08,1199822400,25.82,1199883600,48.26,0.91,1005.17,7.3,16.97,1199851200,217,0.98,1,1199815200,8.287,38.05,1199851200,56.08,1199822400,31.58,1199851200,56.08,1199822400,2008-01-08,1199793600.0,rain,
1199858400,Mostly cloudy throughout the day.,partly-cloudy-day,1199884735,1199918300,0.05,0.0,0.0009,0.07,40.48,1199912400,34.87,1199955600,38.62,1199912400,32.21,1199962800,30.43,0.79,1018.54,5.28,19.83,1199858400,254,0.69,2,1199901600,8.896,31.59,1199887200,40.48,1199912400,25.82,1199883600,38.62,1199912400,2008-01-09,1199862000.0,,
1199944800,Light rain in the evening and overnight.,rain,1199971121,1200004763,0.09,0.0096,0.047,1.0,43.7,1199995200,35.08,1200038400,39.07,1199998800,28.13,1200038400,33.15,0.82,1007.44,4.64,14.71,1199995200,97,0.73,2,1199988000,7.351,34.87,1199955600,43.7,1199995200,32.21,1199962800,39.07,1199998800,2008-01-10,1200009600.0,rain,
