time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipProbability,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,date,precipIntensityMaxTime,precipType,precipAccumulation
1262325600,Partly cloudy throughout the day.,partly-cloudy-day,1262351967,1262385077,0.55,0.0,0.0,0.0,18.4,1262376000,4.52,1262440800,9.14,1262372400,-7.26,1262440800,4.49,0.71,1026.41,5.46,12.11,1262383200,288,0.28,1,1262368800,9.759,6.92,1262350800,18.4,1262376000,-1.79,1262354400,9.14,1262372400,2010-01-01,,,
1262412000,Partly cloudy throughout the day.,partly-cloudy-day,1262438370,1262471528,0.59,0.0,0.0,0.0,13.26,1262462400,3.38,1262527200,2.99,1262458800,-7.37,1262523600,-1.31,0.65,1030.72,6.5,13.17,1262448000,309,0.18,2,1262455200,9.977,4.52,1262440800,13.26,1262462400,-7.26,1262440800,2.99,1262458800,2010-01-02,,,
1262498400,Partly cloudy throughout the day.,partly-cloudy-day,1262524771,1262557981,0.63,0.0,0.0,0.0,19.84,1262552400,9.62,1262599200,11.58,1262552400,-0.36,1262610000,2.14,0.66,1030.61,5.84,11.34,1262548800,309,0.44,1,1262541600,9.997,3.38,1262527200,19.84,1262552400,-7.37,1262523600,11.58,1262552400,2010-01-03,,,
1262584800,Mostly cloudy throughout the day.,partly-cloudy-day,1262611169,1262644436,0.67,0.0,0.0,0.0,19.18,1262638800,16.24,1262685600,9.69,1262638800,7.88,1262696400,6.94,0.71,1025.77,6.48,12.95,1262628000,303,0.83,1,1262628000,9.872,9.62,1262599200,19.18,1262638800,-0.36,1262610000,10.76,1262667600,2010-01-04,,,
1262671200,Mostly cloudy throughout the day.,partly-cloudy-day,1262697566,1262730892,0.7,0.0,0.0,0.0,24.1,1262721600,9.68,1262782800,16.58,1262725200,4.61,1262786400,11.07,0.71,1023.41,5.37,10.97,1262718000,294,0.86,1,1262714400,9.87,16.24,1262685600,24.1,1262721600,7.88,1262696400,16.58,1262725200,2010-01-05,,,
1262757600,Foggy in the morning and overnight.,partly-cloudy-day,1262783960,1262817350,0.74,0.0,0.0,0.0,23.07,1262811600,16.31,1262858400,19.55,1262822400,12.23,1262847600,10.69,0.76,1023.07,3.15,8.21,1262804400,262,0.61,1,1262800800,9.397,9.68,1262782800,23.07,1262811600,4.61,1262786400,19.55,1262822400,2010-01-06,,,
1262844000,Foggy throughout the day.,cloudy,1262870352,1262903809,0.77,0.0002,0.0013,0.17,21.99,1262894400,18.31,1262919600,21.98,1262890800,9.8,1262912400,15.24,0.86,1015.7,2.88,10.39,1262912400,257,1.0,1,1262887200,2.007,16.31,1262858400,21.99,1262894400,9.8,1262912400,21.98,1262890800,2010-01-07,1262872800.0,snow,0.07
1262930400,Overcast throughout the day.,cloudy,1262956741,1262990270,0.81,0.0001,0.0008,0.12,24.3,1262980800,10.34,1263038400,16.04,1262980800,2.14,1263038400,16.04,0.77,1024.21,7.09,19.07,1262962800,334,0.95,1,1262973600,7.95,16.67,1263013200,25.87,1262944800,9.07,1263013200,22.13,1262934000,2010-01-08,1262941200.0,snow,0.02
1263016800,Mostly cloudy throughout the day.,partly-cloudy-day,1263043128,1263076732,0.84,0.0,0.0,0.0,23.53,1263070800,2.32,1263132000,17.53,1263070800,-7.51,1263132000,7.81,0.68,1032.36,4.36,8.41,1263038400,301,0.69,2,1263060000,9.997,10.34,1263038400,23.53,1263070800,2.14,1263038400,17.53,1263070800,2010-01-09,,,
1263103200,Partly cloudy throughout the day.,partly-cloudy-day,1263129513,1263163195,0.87,0.0,0.0,0.0,15.05,1263153600,12.91,1263171600,4.42,1263153600,1.03,1263171600,3.14,0.72,1029.2,6.29,17.37,1263175200,221,0.43,2,1263146400,9.827,2.32,1263132000,18.09,1263186000,-7.51,1263132000,7.79,1263186000,2010-01-10,,,
